zoo_id,!image_file,!plot_file,lit_status
Z0000,Z0000_N1601009710_img.png,Z0000_N1601009710_plt.png,LIT
Z0001,Z0001_N1467346565_img.png,Z0001_N1467346565_plt.png,UNLIT
Z0002,Z0002_N1467345444_img.png,Z0002_N1467345444_plt.png,UNLIT
Z0003,Z0003_N1628682165_img.png,Z0003_N1628682165_plt.png,UNLIT
Z0004,Z0004_N1467345149_img.png,Z0004_N1467345149_plt.png,UNLIT
Z0005,Z0005_N1467345562_img.png,Z0005_N1467345562_plt.png,UNLIT
Z0006,Z0006_N1467345090_img.png,Z0006_N1467345090_plt.png,UNLIT
Z0007,Z0007_N1628682038_img.png,Z0007_N1628682038_plt.png,UNLIT
Z0008,Z0008_N1467345739_img.png,Z0008_N1467345739_plt.png,UNLIT
Z0009,Z0009_N1467345680_img.png,Z0009_N1467345680_plt.png,UNLIT
Z0010,Z0010_N1628679668_img.png,Z0010_N1628679668_plt.png,UNLIT
Z0011,Z0011_N1467344745_img.png,Z0011_N1467344745_plt.png,UNLIT
Z0012,Z0012_N1467346624_img.png,Z0012_N1467346624_plt.png,UNLIT
Z0013,Z0013_N1467346329_img.png,Z0013_N1467346329_plt.png,UNLIT
Z0014,Z0014_N1874683898_img.png,Z0014_N1874683898_plt.png,UNLIT
Z0015,Z0015_N1467345975_img.png,Z0015_N1467345975_plt.png,UNLIT
Z0016,Z0016_N1628684875_img.png,Z0016_N1628684875_plt.png,UNLIT
Z0017,Z0017_N1467345916_img.png,Z0017_N1467345916_plt.png,UNLIT
Z0018,Z0018_N1467346388_img.png,Z0018_N1467346388_plt.png,UNLIT
Z0019,Z0019_N1467345385_img.png,Z0019_N1467345385_plt.png,UNLIT
